id	Japanese	JapaneseTransliterated	Korean	Chinese	French	German	Spanish	Italian	English
48	コンパン	Kongpang	콘팡	毛球	Mimitoss	Bluzuk	Venonat	Venonat	Venonat

49	モルフォン	Morphon	도나리	末入蛾	Aéromite	Omot	Venomoth	Venomoth	Venomoth

50	ディグダ	Digda	디그다	地鼠	Taupiqueur	Digda	Diglett	Diglett	Diglett

51	ダグトリオ	Dugtrio	닥트리오	三地鼠	Triopikeur	Digdri	Dugtrio	Dugtrio	Dugtrio

52	ニャース	Nyarth	나옹	喵喵	Miaouss	Mauzi	Meowth	Meowth	Meowth

53	ペルシアン	Persian	페르시온	貓老大	Persian	Snobilikat	Persian	Persian	Persian

54	コダック	Koduck	고라파덕	可達鴨	Psykokwak	Enton	Psyduck	Psyduck	Psyduck

55	ゴルダック	Golduck	골덕	哥達鴨	Akwakwak	Entoron	Golduck	Golduck	Golduck

56	マンキー	Mankey	망키	猴怪	Férosinge	Menki	Mankey	Mankey	Mankey

57	オコリザル	Okorizaru	성원숭	火爆猴	Colossinge	Rasaff	Primeape	Primeape	Primeape

58	ガーディ	Gardie	가디	卡蒂狗	Caninos	Fukano	Growlithe	Growlithe	Growlithe

59	ウインディ	Windie	윈디	風速狗	Arcanin	Arkani	Arcanine	Arcanine	Arcanine

60	ニョロモ	Nyoromo	발챙이	蚊香蝌蚪	Ptitard	Quapsel	Poliwag	Poliwag	Poliwag

61	ニョロゾ	Nyorozo	슈륙챙이	蚊香蛙	Têtarte	Quaputzi	Poliwhirl	Poliwhirl	Poliwhirl

62	ニョロボン	Nyorobon	강챙이	快泳蛙	Tartard	Quappo	Poliwrath	Poliwrath	Poliwrath

63	ケーシィ	Casey	캐이시	凱西	Abra	Abra	Abra	Abra	Abra

64	ユンゲラー	Yungerer	윤겔라	勇吉拉	Kadabra	Kadabra	Kadabra	Kadabra	Kadabra

65	フーディン	Foodin	후딘	胡地	Alakazam	Simsala	Alakazam	Alakazam	Alakazam

66	ワンリキー	Wanriky	알통몬	腕力	Machoc	Machollo	Machop	Machop	Machop

67	ゴーリキー	Goriky	근육몬	豪力	Machopeur	Maschock	Machoke	Machoke	Machoke

68	カイリキー	Kairiky	괴력몬	怪力	Mackogneur	Machomei	Machamp	Machamp	Machamp

69	マダツボミ	Madatsubomi	모다피	喇叭芽	Chétiflor	Knofensa	Bellsprout	Bellsprout	Bellsprout

70	ウツドン	Utsudon	우츠동	口呆花	Boustiflor	Ultrigaria	Weepinbell	Weepinbell	Weepinbell

71	ウツボット	Utsubot	우츠보트	大食花	Empiflor	Sarzenia	Victreebel	Victreebel	Victreebel

72	メノクラゲ	Menokurage	왕눈해	瑪瑙水母	Tentacool	Tentacha	Tentacool	Tentacool	Tentacool

73	ドククラゲ	Dokukurage	독파리	毒刺水母	Tentacruel	Tentoxa	Tentacruel	Tentacruel	Tentacruel

74	イシツブテ	Isitsubute	꼬마돌	小拳石	Racaillou	Kleinstein	Geodude	Geodude	Geodude

75	ゴローン	Golone	데구리	隆隆石	Gravalanch	Georok	Graveler	Graveler	Graveler

76	ゴローニャ	Golonya	딱구리	隆隆岩	Grolem	Geowaz	Golem	Golem	Golem

77	ポニータ	Ponyta	포니타	小火馬	Ponyta	Ponita	Ponyta	Ponyta	Ponyta

78	ギャロップ	Gallop	날쌩마	烈焰馬	Galopa	Gallopa	Rapidash	Rapidash	Rapidash

79	ヤドン	Yadon	야돈	呆呆獸	Ramoloss	Flegmon	Slowpoke	Slowpoke	Slowpoke

80	ヤドラン	Yadoran	야도란	呆河馬	Flagadoss	Lahmus	Slowbro	Slowbro	Slowbro

81	コイル	Coil	코일	小磁怪	Magnéti	Magnetilo	Magnemite	Magnemite	Magnemite

82	レアコイル	Rarecoil	레어코일	三合一磁怪	Magnéton	Magneton	Magneton	Magneton	Magneton

83	カモネギ	Kamonegi	파오리	大蔥鴨	Canarticho	Porenta	Farfetch'd	Farfetch'd	Farfetch'd

84	ドードー	Dodo	두두	嘟嘟	Doduo	Dodu	Doduo	Doduo	Doduo

85	ドードリオ	Dodorio	두트리오	嘟嘟利	Dodrio	Dodri	Dodrio	Dodrio	Dodrio

86	パウワウ	Pawou	쥬쥬	小海獅	Otaria	Jurob	Seel	Seel	Seel

87	ジュゴン	Jugon	쥬레곤	白海獅	Lamantine	Jugong	Dewgong	Dewgong	Dewgong

88	ベトベター	Betbeter	질퍽이	臭泥	Tadmorv	Sleima	Grimer	Grimer	Grimer

89	ベトベトン	Betbeton	질뻐기	臭臭泥	Grotadmorv	Sleimok	Muk	Muk	Muk

90	シェルダー	Shellder	셀러	大舌貝	Kokiyas	Muschas	Shellder	Shellder	Shellder

91	パルシェン	Parshen	파르셀	鐵甲貝	Crustabri	Austos	Cloyster	Cloyster	Cloyster

92	ゴース	Ghos	고오스	鬼斯	Fantominus	Nebulak	Gastly	Gastly	Gastly

93	ゴースト	Ghost	고우스트	鬼斯通	Spectrum	Alpollo	Haunter	Haunter	Haunter

94	ゲンガー	Gangar	팬텀	耿鬼	Ectoplasma	Gengar	Gengar	Gengar	Gengar

95	イワーク	Iwark	롱스톤	大岩蛇	Onix	Onix	Onix	Onix	Onix

96	スリープ	Sleep	슬리프	素利普	Soporifik	Traumato	Drowzee	Drowzee	Drowzee

97	スリーパー	Sleeper	슬리퍼	素利拍	Hypnomade	Hypno	Hypno	Hypno	Hypno

98	クラブ	Crab	크랩	大鉗蟹	Krabby	Krabby	Krabby	Krabby	Krabby

99	キングラー	Kingler	킹크랩	巨鉗蟹	Krabboss	Kingler	Kingler	Kingler	Kingler

100	ビリリダマ	Biriridama	찌리리공	雷電球	Voltorbe	Voltobal	Voltorb	Voltorb	Voltorb

101	マルマイン	Marumine	붐볼	頑皮彈	Électrode	Lektrobal	Electrode	Electrode	Electrode

102	タマタマ	Tamatama	아라리	蛋蛋	Noeunoeuf	Owei	Exeggcute	Exeggcute	Exeggcute

103	ナッシー	Nassy	나시	椰蛋樹	Noadkoko	Kokowei	Exeggutor	Exeggutor	Exeggutor

104	カラカラ	Karakara	탕구리	可拉可拉	Osselait	Tragosso	Cubone	Cubone	Cubone

105	ガラガラ	Garagara	텅구리	嘎啦嘎啦	Ossatueur	Knogga	Marowak	Marowak	Marowak

106	サワムラー	Sawamular	시라소몬	沙瓦郎	Kicklee	Kicklee	Hitmonlee	Hitmonlee	Hitmonlee

107	エビワラー	Ebiwalar	홍수몬	艾比郎	Tygnon	Nockchan	Hitmonchan	Hitmonchan	Hitmonchan

108	ベロリンガ	Beroringa	내루미	大舌頭	Excelangue	Schlurp	Lickitung	Lickitung	Lickitung

109	ドガース	Dogars	또가스	瓦斯彈	Smogo	Smogon	Koffing	Koffing	Koffing

110	マタドガス	Matadogas	또도가스	雙彈瓦斯	Smogogo	Smogmog	Weezing	Weezing	Weezing

111	サイホーン	Sihorn	뿔카노	鐵甲犀牛	Rhinocorne	Rihorn	Rhyhorn	Rhyhorn	Rhyhorn

112	サイドン	Sidon	코뿌리	鐵甲暴龍	Rhinoféros	Rizeros	Rhydon	Rhydon	Rhydon

113	ラッキー	Lucky	럭키	吉利蛋	Leveinard	Chaneira	Chansey	Chansey	Chansey

114	モンジャラ	Monjara	덩쿠리	蔓藤怪	Saquedeneu	Tangela	Tangela	Tangela	Tangela

115	ガルーラ	Garura	캥카	袋龍	Kangourex	Kangama	Kangaskhan	Kangaskhan	Kangaskhan

116	タッツー	Tattu	쏘드라	墨海馬	Hypotrempe	Seeper	Horsea	Horsea	Horsea

117	シードラ	Seadra	시드라	海刺龍	Hypocéan	Seemon	Seadra	Seadra	Seadra

118	トサキント	Tosakinto	콘치	角金魚	Poissirène	Goldini	Goldeen	Goldeen	Goldeen

119	アズマオウ	Azumao	왕콘치	金魚王	Poissoroy	Golking	Seaking	Seaking	Seaking

120	ヒトデマン	Hitodeman	별가사리	海星星	Stari	Sterndu	Staryu	Staryu	Staryu

121	スターミー	Starmie	아쿠스타	寶石海星	Staross	Starmie	Starmie	Starmie	Starmie

122	バリヤード	Barrierd	마임맨	吸盤魔偶	M. Mime	Pantimos	Mr. Mime	Mr. Mime	Mr. Mime

123	ストライク	Strike	스라크	飛天螳螂	Insécateur	Sichlor	Scyther	Scyther	Scyther

124	ルージュラ	Rougela	루주라	迷唇姐	Lippoutou	Rossana	Jynx	Jynx	Jynx

125	エレブー	Eleboo	에레브	電擊獸	Élektek	Elektek	Electabuzz	Electabuzz	Electabuzz

126	ブーバー	Boober	마그마	鴨嘴火龍	Magmar	Magmar	Magmar	Magmar	Magmar

127	カイロス	Kailios	쁘사이저	大甲	Scarabrute	Pinsir	Pinsir	Pinsir	Pinsir

128	ケンタロス	Kentauros	켄타로스	肯泰羅	Tauros	Tauros	Tauros	Tauros	Tauros

129	コイキング	Koiking	잉어킹	鯉魚王	Magicarpe	Karpador	Magikarp	Magikarp	Magikarp

130	ギャラドス	Gyarados	갸라도스	暴鯉龍	Léviator	Garados	Gyarados	Gyarados	Gyarados

131	ラプラス	Laplace	라프라스	乘龍	Lokhlass	Lapras	Lapras	Lapras	Lapras

132	メタモン	Metamon	메타몽	百變怪	Métamorph	Ditto	Ditto	Ditto	Ditto

133	イーブイ	Eievui	이브이	伊布	Évoli	Evoli	Eevee	Eevee	Eevee

134	シャワーズ	Showers	샤미드	水精靈	Aquali	Aquana	Vaporeon	Vaporeon	Vaporeon

135	サンダース	Thunders	쥬피썬더	雷精靈	Voltali	Blitza	Jolteon	Jolteon	Jolteon

136	ブースター	Booster	부스터	火精靈	Pyroli	Flamara	Flareon	Flareon	Flareon

137	ポリゴン	Porygon	폴리곤	3D龍	Porygon	Porygon	Porygon	Porygon	Porygon

138	オムナイト	Omnite	암나이트	菊石獸	Amonita	Amonitas	Omanyte	Omanyte	Omanyte

139	オムスター	Omstar	암스타	多刺菊石獸	Amonistar	Amoroso	Omastar	Omastar	Omastar

140	カブト	Kabuto	투구	化石盔	Kabuto	Kabuto	Kabuto	Kabuto	Kabuto

141	カブトプス	Kabutops	투구푸스	鐮刀盔	Kabutops	Kabutops	Kabutops	Kabutops	Kabutops

142	プテラ	Ptera	프테라	化石翼龍	Ptéra	Aerodactyl	Aerodactyl	Aerodactyl	Aerodactyl

143	カビゴン	Kabigon	잠만보	卡比獸	Ronflex	Relaxo	Snorlax	Snorlax	Snorlax

144	フリーザー	Freezer	프리져	急凍鳥	Artikodin	Arktos	Articuno	Articuno	Articuno

145	サンダー	Thunder	썬더	閃電鳥	Électhor	Zapdos	Zapdos	Zapdos	Zapdos

146	ファイヤー	Fire	파이어	火焰鳥	Sulfura	Lavados	Moltres	Moltres	Moltres

147	ミニリュウ	Miniryu	미뇽	迷你龍	Minidraco	Dratini	Dratini	Dratini	Dratini

148	ハクリュー	Hakuryu	신뇽	哈克龍	Draco	Dragonir	Dragonair	Dragonair	Dragonair

149	カイリュー	Kairyu	망나뇽	快龍	Dracolosse	Dragoran	Dragonite	Dragonite	Dragonite

150	ミュウツー	Mewtwo	뮤츠	超夢	Mewtwo	Mewtu	Mewtwo	Mewtwo	Mewtwo

151	ミュウ	Mew	뮤	夢幻	Mew	Mew	Mew	Mew	Mew

152	チコリータ	Chicorita	치코리타	菊草葉	Germignon	Endivie	Chikorita	Chikorita	Chikorita

153	ベイリーフ	Bayleaf	베이리프	月桂葉	Macronium	Lorblatt	Bayleef	Bayleef	Bayleef

154	メガニウム	Meganium	메가니움	大菊花	Méganium	Meganie	Meganium	Meganium	Meganium

155	ヒノアラシ	Hinoarashi	브케인	火球鼠	Héricendre	Feurigel	Cyndaquil	Cyndaquil	Cyndaquil

156	マグマラシ	Magmarashi	마그케인	火岩鼠	Feurisson	Igelavar	Quilava	Quilava	Quilava

157	バクフーン	Bakphoon	블레이범	火暴獸	Typhlosion	Tornupto	Typhlosion	Typhlosion	Typhlosion

158	ワニノコ	Waninoko	리아코	小鋸鱷	Kaiminus	Karnimani	Totodile	Totodile	Totodile

159	アリゲイツ	Alligates	엘리게이	藍鱷	Crocrodil	Tyracroc	Croconaw	Croconaw	Croconaw

160	オーダイル	Ordile	장크로다일	大力鱷	Aligatueur	Impergator	Feraligatr	Feraligatr	Feraligatr

161	オタチ	Otachi	꼬리선	尾立	Fouinette	Wiesor	Sentret	Sentret	Sentret

162	オオタチ	Ootachi	다꼬리	大尾立	Fouinar	Wiesenior	Furret	Furret	Furret

163	ホーホー	Hoho	부우부	咕咕	Hoothoot	Hoothoot	Hoothoot	Hoothoot	Hoothoot

164	ヨルノズク	Yorunozuku	야부엉	貓頭夜鷹	Noarfang	Noctuh	Noctowl	Noctowl	Noctowl

165	レディバ	Rediba	레디바	芭瓢蟲	Coxy	Ledyba	Ledyba	Ledyba	Ledyba

166	レディアン	Redian	레디안	安瓢蟲	Coxyclaque	Ledian	Ledian	Ledian	Ledian

167	イトマル	Itomaru	페이검	線球	Mimigal	Webarak	Spinarak	Spinarak	Spinarak

168	アリアドス	Ariados	아리아도스	阿利多斯	Migalos	Ariados	Ariados	Ariados	Ariados

169	クロバット	Crobat	크로뱃	叉字蝠	Nostenfer	Iksbat	Crobat	Crobat	Crobat

170	チョンチー	Chonchie	초라기	燈籠魚	Loupio	Lampi	Chinchou	Chinchou	Chinchou

171	ランターン	Lantern	랜턴	電燈怪	Lanturn	Lanturn	Lanturn	Lanturn	Lanturn

172	ピチュー	Pichu	피츄	皮丘	Pichu	Pichu	Pichu	Pichu	Pichu

173	ピィ	Py	삐	皮寶寶	Mélo	Pii	Cleffa	Cleffa	Cleffa

174	ププリン	Pupurin	푸푸린	寶寶丁	Toudoudou	Fluffeluff	Igglybuff	Igglybuff	Igglybuff

175	トゲピー	Togepy	토게피	波克比	Togepi	Togepi	Togepi	Togepi	Togepi

176	トゲチック	Togechick	토게틱	波克基古	Togetic	Togetic	Togetic	Togetic	Togetic

177	ネイティ	Naty	네이티	天然雀	Natu	Natu	Natu	Natu	Natu

178	ネイティオ	Natio	네이티오	天然鳥	Xatu	Xatu	Xatu	Xatu	Xatu

179	メリープ	Merriep	메리프	咩利羊	Wattouat	Voltilamm	Mareep	Mareep	Mareep

180	モココ	Mokoko	보송송	綿綿	Lainergie	Waaty	Flaaffy	Flaaffy	Flaaffy

181	デンリュウ	Denryu	전룡	電龍	Pharamp	Ampharos	Ampharos	Ampharos	Ampharos

182	キレイハナ	Kireihana	아르코	美麗花	Joliflor	Blubella	Bellossom	Bellossom	Bellossom

183	マリル	Maril	마릴	瑪力露	Marill	Marill	Marill	Marill	Marill

184	マリルリ	Marilli	마릴리	瑪力露麗	Azumarill	Azumarill	Azumarill	Azumarill	Azumarill

185	ウソッキー	Usokkie	꼬지모	胡說樹	Simularbre	Mogelbaum	Sudowoodo	Sudowoodo	Sudowoodo

186	ニョロトノ	Nyorotono	왕구리	牛蛙君	Tarpaud	Quaxo	Politoed	Politoed	Politoed

187	ハネッコ	Hanecco	통통코	毽子草	Granivol	Hoppspross	Hoppip	Hoppip	Hoppip

188	ポポッコ	Popocco	두코	毽子花	Floravol	Hubelupf	Skiploom	Skiploom	Skiploom

189	ワタッコ	Watacco	솜솜코	毽子綿	Cotovol	Papungha	Jumpluff	Jumpluff	Jumpluff

190	エイパム	Eipam	에이팜	長尾怪手	Capumain	Griffel	Aipom	Aipom	Aipom

191	ヒマナッツ	Himanuts	해너츠	向日種子	Tournegrin	Sonnkern	Sunkern	Sunkern	Sunkern

192	キマワリ	Kimawari	해루미	向日花怪	Héliatronc	Sonnflora	Sunflora	Sunflora	Sunflora

193	ヤンヤンマ	Yanyanma	왕자리	陽陽瑪	Yanma	Yanma	Yanma	Yanma	Yanma

194	ウパー	Upah	우파	烏波	Axoloto	Felino	Wooper	Wooper	Wooper

195	ヌオー	Nuoh	누오	沼王	Maraiste	Morlord	Quagsire	Quagsire	Quagsire

196	エーフィ	Eifie	에브이	太陽精靈	Mentali	Psiana	Espeon	Espeon	Espeon

197	ブラッキー	Blacky	블래키	月精靈	Noctali	Nachtara	Umbreon	Umbreon	Umbreon

198	ヤミカラス	Yamikarasu	니로우	黑暗鴉	Cornèbre	Kramurx	Murkrow	Murkrow	Murkrow

199	ヤドキング	Yadoking	야도킹	河馬王	Roigada	Laschoking	Slowking	Slowking	Slowking

200	ムウマ	Muma	무우마	夢妖	Feuforêve	Traunfugil	Misdreavus	Misdreavus	Misdreavus

201	アンノーン	Unknown	안농	未知圖騰	Zarbi	Icognito	Unown	Unown	Unown

202	ソーナンス	Sonans	마자용	果然翁	Qulbutoké	Woingenau	Wobbuffet	Wobbuffet	Wobbuffet

203	キリンリキ	Kirinriki	키링키	麒麟奇	Girafarig	Girafarig	Girafarig	Girafarig	Girafarig

204	クヌギダマ	Kunugidama	피콘	榛果球	Pomdepik	Tannza	Pineco	Pineco	Pineco

205	フォレトス	Foretos	쏘콘	佛烈托斯	Foretress	Forstellka	Forretress	Forretress	Forretress

206	ノコッチ	Nokocchi	노고치	土龍弟弟	Insolourdo	Dummisel	Dunsparce	Dunsparce	Dunsparce

207	グライガー	Gliger	글라이거	天蠍	Scorplane	Skorgla	Gligar	Gligar	Gligar

208	ハガネール	Haganeil	강철톤	大鋼蛇	Steelix	Stahlos	Steelix	Steelix	Steelix

209	ブルー	Bulu	블루	布盧	Snubbull	Snubbull	Snubbull	Snubbull	Snubbull

210	グランブル	Granbulu	그랑블루	布盧皇	Granbull	Granbull	Granbull	Granbull	Granbull

211	ハリーセン	Harysen	침바루	千針魚	Qwilfish	Baldorfish	Qwilfish	Qwilfish	Qwilfish

212	ハッサム	Hassam	핫삼	巨鉗螳螂	Cizayox	Scherox	Scizor	Scizor	Scizor

213	ツボツボ	Tsubotsubo	단단지	壺壺	Caratroc	Pottrott	Shuckle	Shuckle	Shuckle

214	ヘラクロス	Heracros	헤라크로스	赫拉剋羅斯	Scarhino	Skaraborn	Heracross	Heracross	Heracross

215	ニューラ	Nyula	포푸니	狃拉	Farfuret	Sniebel	Sneasel	Sneasel	Sneasel

216	ヒメグマ	Himeguma	깜지곰	熊寶寶	Teddiursa	Teddiursa	Teddiursa	Teddiursa	Teddiursa

217	リングマ	Ringuma	링곰	圈圈熊	Ursaring	Ursaring	Ursaring	Ursaring	Ursaring

218	マグマッグ	Magmag	마그마그	熔岩蟲	Limagma	Schneckmag	Slugma	Slugma	Slugma

219	マグカルゴ	Magcargot	마그카르고	熔岩蝸牛	Volcaropod	Magcargo	Magcargo	Magcargo	Magcargo

220	ウリムー	Urimoo	꾸꾸리	小山豬	Marcacrin	Quiekel	Swinub	Swinub	Swinub

221	イノムー	Inomoo	메꾸리	長毛豬	Cochignon	Keifel	Piloswine	Piloswine	Piloswine

222	サニーゴ	Sunnygo	코산호	太陽珊瑚	Corayon	Corasonn	Corsola	Corsola	Corsola

223	テッポウオ	Teppouo	총어	鐵砲魚	Rémoraid	Remoraid	Remoraid	Remoraid	Remoraid

224	オクタン	Okutank	대포무노	章魚桶	Octillery	Octillery	Octillery	Octillery	Octillery

225	デリバード	Delibird	딜리버드	信使鳥	Cadoizo	Botogel	Delibird	Delibird	Delibird

226	マンタイン	Mantain	만타인	巨翅飛魚	Démanta	Mantax	Mantine	Mantine	Mantine

227	エアームド	Airmd	무장조	盔甲鳥	Airmure	Panzaeron	Skarmory	Skarmory	Skarmory

228	デルビル	Delvil	델빌	戴魯比	Malosse	Hunduster	Houndour	Houndour	Houndour

229	ヘルガー	Hellgar	헬가	黑魯加	Démolosse	Hundemon	Houndoom	Houndoom	Houndoom

230	キングドラ	Kingdra	킹드라	刺龍王	Hyporoi	Seedraking	Kingdra	Kingdra	Kingdra

231	ゴマゾウ	Gomazou	코코리	小小象	Phanpy	Phanpy	Phanpy	Phanpy	Phanpy

232	ドンファン	Donfan	코리갑	頓甲	Donphan	Donphan	Donphan	Donphan	Donphan

233	ポリゴン２	Porygon2	폴리곤2	3D龍2	Porygon2	Porygon2	Porygon2	Porygon2	Porygon2

234	オドシシ	Odoshishi	노라키	驚角鹿	Cerfrousse	Damhirplex	Stantler	Stantler	Stantler

235	ドーブル	Doble	루브도	圖圖犬	Queulorior	Farbeagle	Smeargle	Smeargle	Smeargle

236	バルキー	Balkie	배루키	巴爾郎	Debugant	Rabauz	Tyrogue	Tyrogue	Tyrogue

237	カポエラー	Kapoerer	카포에라	柯波朗	Kapoera	Kapoera	Hitmontop	Hitmontop	Hitmontop

238	ムチュール	Muchul	뽀뽀라	迷唇娃	Lippouti	Kussilla	Smoochum	Smoochum	Smoochum

239	エレキッド	Elekid	에레키드	電擊怪	Élekid	Elekid	Elekid	Elekid	Elekid

240	ブビィ	Buby	마그비	小鴨嘴龍	Magby	Magby	Magby	Magby	Magby

241	ミルタンク	Miltank	밀탱크	大奶罐	Écrémeuh	Miltank	Miltank	Miltank	Miltank

242	ハピナス	Happinas	해피너스	幸福蛋	Leuphorie	Heiteira	Blissey	Blissey	Blissey

243	ライコウ	Raikou	라이코	雷公	Raikou	Raikou	Raikou	Raikou	Raikou

244	エンテイ	Entei	앤테이	炎帝	Entei	Entei	Entei	Entei	Entei

245	スイクン	Suikun	스이쿤	水君	Suicune	Suicune	Suicune	Suicune	Suicune

246	ヨーギラス	Yogiras	애버라스	由基拉	Embrylex	Larvitar	Larvitar	Larvitar	Larvitar

247	サナギラス	Sanagiras	데기라스	沙基拉	Ymphect	Pupitar	Pupitar	Pupitar	Pupitar

248	バンギラス	Bangiras	마기라스	班吉拉	Tyranocif	Despotar	Tyranitar	Tyranitar	Tyranitar

249	ルギア	Lugia	루기아	洛奇亞	Lugia	Lugia	Lugia	Lugia	Lugia

250	ホウオウ	Houou	칠색조	鳳王	Ho-Oh	Ho-Oh	Ho-Oh	Ho-Oh	Ho-Oh

251	セレビィ	Celebi	세레비	雪拉比	Celebi	Celebi	Celebi	Celebi	Celebi

